|,||,||__rssi1,||__rssi2,||__rssi3,||__x1,||__x2,||__x3,||__y1,||__y2,||__y3
traindata,1548657361362,-83,-83,-95,11,33,29,29,14.2,33.5
,1548657362479,-83,-81,-93,11,33,29,29,14.2,33.5
,1548657365848,-77,-86,-96,11,33,29,29,14.2,33.5
,1548657366962,-83,-82,-89,11,33,29,29,14.2,33.5
,1548657368092,-80,-89,-90,11,33,29,29,14.2,33.5
,1548657369218,-78,-84,-91,11,33,29,29,14.2,33.5
,1548657370345,-76,-85,-91,11,33,29,29,14.2,33.5
,1548657371459,-79,-85,-91,11,33,29,29,14.2,33.5
,1548657374845,-83,-87,-94,11,33,29,29,14.2,33.5
,1548657384919,-75,-88,-90,11,33,29,29,14.2,33.5
,1548657386030,-74,-89,-88,11,33,29,29,14.2,33.5
,1548657387143,-82,-95,-100,11,33,29,29,14.2,33.5
,1548657389385,-85,-94,-93,11,33,29,29,14.2,33.5
,1548657390515,-84,-94,-94,11,33,29,29,14.2,33.5
,1548657391625,-83,-93,-93,11,33,29,29,14.2,33.5
,1548657399475,-75,-82,-91,11,33,29,29,14.2,33.5
,1548657400588,-76,-87,-91,11,33,29,29,14.2,33.5
,1548657420995,-74,-83,-91,11,33,29,29,14.2,33.5
,1548657422108,-75,-85,-89,11,33,29,29,14.2,33.5
,1548657423219,-75,-91,-92,11,33,29,29,14.2,33.5
,1548657424347,-74,-94,-93,11,33,29,29,14.2,33.5
,1548657425476,-75,-89,-91,11,33,29,29,14.2,33.5
,1548657428813,-90,-95,-91,11,33,29,29,14.2,33.5
,1548657429941,-82,-94,-91,11,33,29,29,14.2,33.5
,1548657434407,-74,-83,-91,11,33,29,29,14.2,33.5
,1548657440017,-71,-92,-90,11,33,29,29,14.2,33.5
,1548657441129,-71,-92,-91,11,33,29,29,14.2,33.5
,1548657444499,-80,-92,-91,11,33,29,29,14.2,33.5
,1548657447853,-74,-83,-90,11,33,29,29,14.2,33.5
,1548657448982,-73,-82,-90,11,33,29,29,14.2,33.5
,1548657450095,-74,-82,-89,11,33,29,29,14.2,33.5
,1548657451207,-75,-83,-90,11,33,29,29,14.2,33.5
,1548657462640,-82,-88,-88,11,33,29,29,14.2,33.5
,1548657464897,-77,-88,-89,11,33,29,29,14.2,33.5
,1548657466024,-79,-87,-89,11,33,29,29,14.2,33.5
,1548657468265,-83,-90,-88,11,33,29,29,14.2,33.5
,1548657469393,-81,-87,-88,11,33,29,29,14.2,33.5
,1548657472747,-86,-93,-90,11,33,29,29,14.2,33.5
,1548657473859,-86,-95,-90,11,33,29,29,14.2,33.5
,1548657476101,-81,-92,-88,11,33,29,29,14.2,33.5
,1548657477212,-82,-85,-92,11,33,29,29,14.2,33.5
,1548657478324,-83,-85,-90,11,33,29,29,14.2,33.5
,1548657479453,-82,-84,-89,11,33,29,29,14.2,33.5
,1548657481694,-83,-84,-86,11,33,29,29,14.2,33.5
,1548657482821,-80,-89,-87,11,33,29,29,14.2,33.5
,1548657483934,-79,-90,-88,11,33,29,29,14.2,33.5
,1548657485046,-79,-90,-86,11,33,29,29,14.2,33.5
,1548657664964,-92,-94,-94,11,33,29,29,14.2,33.5
,1548657678458,-78,-87,-93,11,33,29,29,14.2,33.5
,1548657680713,-89,-89,-94,11,33,29,29,14.2,33.5
,1548657695284,-84,-88,-92,11,33,29,29,14.2,33.5
,1548657696395,-81,-88,-92,11,33,29,29,14.2,33.5
,1548657709836,-71,-87,-95,11,33,29,29,14.2,33.5
,1548657722150,-74,-93,-92,11,33,29,29,14.2,33.5
,1548657726614,-74,-85,-91,11,33,29,29,14.2,33.5
,1548657736753,-76,-92,-96,11,33,29,29,14.2,33.5
,1548657738994,-72,-91,-94,11,33,29,29,14.2,33.5
,1548657752467,-74,-84,-93,11,33,29,29,14.2,33.5
,1548657754706,-70,-88,-95,11,33,29,29,14.2,33.5
,1548657783861,-82,-89,-94,11,33,29,29,14.2,33.5
,1548657798429,-83,-91,-93,11,33,29,29,14.2,33.5
,1548657800654,-82,-88,-93,11,33,29,29,14.2,33.5
,1548657801766,-77,-90,-93,11,33,29,29,14.2,33.5
,1548657822997,-69,-85,-85,11,33,29,29,14.2,33.5
,1548657824110,-68,-83,-85,11,33,29,29,14.2,33.5
,1548657825220,-71,-85,-88,11,33,29,29,14.2,33.5
,1548657826347,-69,-88,-88,11,33,29,29,14.2,33.5
,1548657829701,-81,-95,-95,11,33,29,29,14.2,33.5
,1548657830812,-81,-94,-93,11,33,29,29,14.2,33.5
,1548657831924,-80,-83,-93,11,33,29,29,14.2,33.5
,1548657833036,-74,-84,-89,11,33,29,29,14.2,33.5
,1548657836405,-75,-83,-90,11,33,29,29,14.2,33.5
,1548657838660,-68,-85,-86,11,33,29,29,14.2,33.5
,1548657839789,-68,-85,-82,11,33,29,29,14.2,33.5
,1548657840917,-69,-85,-87,11,33,29,29,14.2,33.5
,1548657844277,-79,-91,-91,11,33,29,29,14.2,33.5
,1548657845383,-79,-92,-91,11,33,29,29,14.2,33.5
,1548657846494,-82,-93,-91,11,33,29,29,14.2,33.5
,1548657848717,-72,-83,-87,11,33,29,29,14.2,33.5
,1548657849829,-79,-83,-87,11,33,29,29,14.2,33.5
,1548657918760,-74,-92,-94,11,33,29,29,14.2,33.5
,1548657929992,-83,-92,-95,11,33,29,29,14.2,33.5
,1548657934472,-75,-91,-98,11,33,29,29,14.2,33.5
,1548657935601,-75,-96,-96,11,33,29,29,14.2,33.5
,1548657957982,-81,-87,-96,11,33,29,29,14.2,33.5
,1548657959093,-77,-93,-93,11,33,29,29,14.2,33.5
,1548657977058,-74,-90,-98,11,33,29,29,14.2,33.5
,1548657980414,-73,-91,-99,11,33,29,29,14.2,33.5
,1548657987131,-76,-87,-97,11,33,29,29,14.2,33.5
,1548657989354,-84,-90,-95,11,33,29,29,14.2,33.5
,1548657990465,-79,-93,-96,11,33,29,29,14.2,33.5
,1548657991595,-81,-88,-96,11,33,29,29,14.2,33.5
,1548658006176,-83,-84,-96,11,33,29,29,14.2,33.5
,1548658045376,-76,-91,-91,11,33,29,29,14.2,33.5
,1548658064355,-77,-82,-95,11,33,29,29,14.2,33.5
,1548658077810,-90,-87,-93,11,33,29,29,14.2,33.5
,1548658136034,-74,-84,-93,11,33,29,29,14.2,33.5
,1548658149454,-82,-93,-91,11,33,29,29,14.2,33.5
,1548658150565,-84,-91,-98,11,33,29,29,14.2,33.5
,1548658162871,-77,-93,-98,11,33,29,29,14.2,33.5
,1548658165095,-77,-91,-96,11,33,29,29,14.2,33.5
,1548658166206,-77,-92,-95,11,33,29,29,14.2,33.5
,1548658179659,-77,-95,-96,11,33,29,29,14.2,33.5
,1548658183027,-79,-88,-94,11,33,29,29,14.2,33.5
,1548658197572,-76,-91,-92,11,33,29,29,14.2,33.5
,1548658200922,-76,-88,-93,11,33,29,29,14.2,33.5
,1548658202035,-76,-85,-93,11,33,29,29,14.2,33.5
,1548658205384,-80,-85,-90,11,33,29,29,14.2,33.5
,1548658206511,-73,-88,-92,11,33,29,29,14.2,33.5
,1548658221092,-76,-91,-88,11,33,29,29,14.2,33.5
,1548658228906,-73,-87,-96,11,33,29,29,14.2,33.5
,1548658347690,-78,-86,-90,11,33,29,29,14.2,33.5
,1548658353279,-74,-84,-91,11,33,29,29,14.2,33.5
,1548658355519,-78,-87,-92,11,33,29,29,14.2,33.5
,1548658356647,-75,-85,-90,11,33,29,29,14.2,33.5
,1548658362237,-77,-91,-96,11,33,29,29,14.2,33.5
