,timestamp,rssi1,rssi2,rssi3,path
0,1552358042929,-58,-87,-94,1
1,1552358044042,-58,-85,-92,1
2,1552358046296,-55,-94,-87,1
3,1552358048556,-64,-84,-89,1
4,1552358055238,-82,-82,-89,1
5,1552358056349,-89,-84,-95,1
6,1552358057462,-87,-73,-86,1
7,1552358060828,-88,-71,-83,1
8,1552358066403,-85,-73,-80,1
9,1552358068625,-93,-74,-87,1
10,1552358071976,-95,-66,-93,1
11,1552358073104,-94,-61,-89,1
12,1552358236681,-89,-53,-95,2
13,1552358242289,-91,-71,-83,2
14,1552358244544,-79,-75,-99,2
15,1552358249029,-80,-78,-86,2
16,1552358254614,-89,-87,-89,2
17,1552358255726,-95,-81,-83,2
18,1552358257965,-92,-83,-80,2
19,1552358259076,-92,-83,-77,2
20,1552358260188,-87,-88,-76,2
21,1552358274786,-92,-81,-65,3
22,1552358412407,-96,-91,-68,3
23,1552358415775,-96,-86,-68,3
24,1552358422513,-92,-92,-77,3
25,1552358429183,-88,-84,-88,3
26,1552358430298,-82,-80,-83,3
27,1552358431407,-82,-85,-92,3
28,1552358433647,-90,-80,-84,3
29,1552358434774,-79,-78,-86,3
30,1552358435887,-77,-80,-92,3
31,1552358437015,-85,-87,-92,3
32,1552358441528,-85,-68,-85,3
33,1552358442641,-87,-89,-77,3
34,1552358443753,-82,-74,-81,3
35,1552358444879,-82,-80,-81,3
36,1552358448231,-84,-81,-76,3
37,1552358449358,-81,-84,-84,3
38,1552358453854,-94,-86,-86,3
39,1552358458320,-70,-93,-91,3
40,1552359206872,-82,-78,-77,4
41,1552359207998,-86,-80,-76,4
42,1552359209114,-88,-78,-70,4
43,1552359210240,-82,-78,-87,4
44,1552359211369,-84,-81,-89,4
45,1552359213594,-91,-84,-90,4
46,1552359214707,-93,-80,-88,4
47,1552359215819,-89,-73,-91,4
48,1552359216933,-84,-70,-88,4
49,1552359218059,-90,-76,-81,4
50,1552359219171,-89,-87,-82,4
51,1552359222508,-78,-85,-84,4
52,1552359280524,-81,-90,-84,5
53,1552359281638,-86,-79,-83,5
54,1552359283877,-85,-84,-79,5
55,1552359286118,-78,-82,-80,5
56,1552359288342,-94,-90,-86,5
57,1552359289471,-83,-83,-96,5
58,1552359291711,-74,-70,-96,5
59,1552359292840,-87,-76,-85,5
60,1552359293969,-83,-73,-88,5
61,1552359295082,-88,-84,-88,5
62,1552359296213,-93,-78,-92,5
63,1552359298452,-83,-78,-89,5
64,1552359402370,-89,-74,-91,6
65,1552359403482,-86,-73,-90,6
66,1552359404593,-90,-71,-95,6
67,1552359406849,-78,-73,-90,6
68,1552359407962,-75,-78,-94,6
69,1552359409074,-74,-76,-80,6
70,1552359410185,-74,-77,-80,6
71,1552359411314,-77,-78,-92,6
72,1552359414700,-92,-86,-91,6
73,1552359415813,-87,-89,-81,6
74,1552359418036,-87,-87,-86,6
75,1552359420277,-82,-83,-87,6
76,1552359422516,-85,-82,-83,6
